id;name;line;lat;long
180;Mairie de Clichy;13;48.9040054324296;2.30536812086686
181;Mairie de Montreuil;9;48.862280986339;2.44182767912771
182;Mairie de Saint-Ouen;13;48.9116216803838;2.33373696484209
183;Mairie des Lilas;11;48.8800510617727;2.41566020606423
184;Maison Blanche;7;48.8228787750632;2.35807989429085
185;Maisons-Alfort les Juilliottes;8;48.8025004418306;2.44618361855945
186;Maisons-Alfort, Stade;8;48.8082253473524;2.43627582105113
187;Malakoff-Plateau de Vanves;13;48.8224426939998;2.29793210532873
188;Malakoff-Rue Étienne Dolet;13;48.814704060567;2.29728473017064
189;Malesherbes;3;48.8825364728922;2.31100924300551
190;Maraîchers;9;48.8526004024001;2.40638498956614
191;Marcadet-Poissonniers;12;48.8915439306306;2.34937111538191
192;Marcadet-Poissonniers;4;48.8916068227185;2.34954831098892
193;Marcel Sembat;9;48.8338085869803;2.2434806144174
194;Marx Dormoy;12;48.8903740812211;2.35979700867061
195;Maubert-Mutualité;10;48.8497169401636;2.34892555849187
196;Michel-Ange, Auteuil;10;48.8479245927851;2.26423590578242
197;Michel-Ange, Auteuil;9;48.847933946139;2.26483507717367
198;Michel-Ange, Molitor;10;48.8449844866799;2.26232003903747
199;Michel-Ange, Molitor;9;48.845056129032;2.26191142327977
200;Michel Bizot;8;48.836991037653;2.40291960687004
201;Mirabeau;10;48.8470848589049;2.27307491492201
202;Miromesnil;13;48.8734603255114;2.31604128891506
203;Miromesnil;9;48.8734603255114;2.31604128891506
204;Monceau;2;48.8805768907484;2.30941594616481
205;Montgallet;8;48.844142731121;2.38962501284843
206;Montparnasse-Bienvenue;12;48.8441895085268;2.3244412324337
207;Montparnasse-Bienvenue;13;48.8418703363041;2.32122837400356
208;Montparnasse-Bienvenue;4;48.8440276361519;2.32356979721758
209;Montparnasse-Bienvenue;6;48.8420770201873;2.32101044955512
210;Mouton-Duvernet;4;48.8321915992697;2.33040699262932
211;Ménilmontant;2;48.865705787623;2.38442937516321
212;Nation;1;48.8490101536482;2.39766461279101
213;Nation;2;48.8490101536482;2.39766461279101
214;Nation;6;48.8490101536482;2.39766461279101
215;Nation;9;48.8490101536482;2.39766461279101
216;Nationale;6;48.8328812886788;2.3619094080162
217;Notre-Dame de Lorette;12;48.8760505542374;2.33790869203761
218;Notre-Dame-des-Champs;12;48.8447830483301;2.32844448329272
219;Oberkampf;5;48.8649742906337;2.36763241156394
220;Oberkampf;9;48.8649742906337;2.36763241156394
221;Odéon;10;48.8523148811949;2.33886172033634
